"","end_date","num_cases","week","perc_cases"
"1","01/05/2022",4258203,2022-01-05,4.49
"2","01/06/2021",1590007,2021-01-06,1.68
"3","01/12/2022",5476639,2022-01-12,5.78
"4","01/13/2021",1708204,2021-01-13,1.8
"5","01/19/2022",5505536,2022-01-19,5.81
"6","01/20/2021",1380273,2021-01-20,1.46
"7","01/26/2022",4407932,2022-01-26,4.65
"8","01/27/2021",1129579,2021-01-27,1.19
"9","02/02/2022",2688713,2022-02-02,2.84
"10","02/03/2021",918356,2021-02-03,0.97
"11","02/09/2022",1476054,2022-02-09,1.56
"12","02/10/2021",738798,2021-02-10,0.78
"13","02/16/2022",894737,2022-02-16,0.94
"14","02/17/2021",542647,2021-02-17,0.57
"15","02/23/2022",547464,2022-02-23,0.58
"16","02/24/2021",467710,2021-02-24,0.49
"17","03/02/2022",375088,2022-03-02,0.4
"18","03/03/2021",447114,2021-03-03,0.47
"19","03/09/2022",264964,2022-03-09,0.28
"20","03/10/2021",392018,2021-03-10,0.41
"21","03/16/2022",213328,2022-03-16,0.23
"22","03/17/2021",376555,2021-03-17,0.4
"23","03/23/2022",195389,2022-03-23,0.21
"24","03/24/2021",404560,2021-03-24,0.43
"25","03/30/2022",194292,2022-03-30,0.21
"26","03/31/2021",448194,2021-03-31,0.47
"27","04/06/2022",201634,2022-04-06,0.21
"28","04/07/2021",457931,2021-04-07,0.48
"29","04/13/2022",222477,2022-04-13,0.23
"30","04/14/2021",493179,2021-04-14,0.52
"31","04/20/2022",297185,2022-04-20,0.31
"32","04/21/2021",450936,2021-04-21,0.48
"33","04/27/2022",371497,2022-04-27,0.39
"34","04/28/2021",371545,2021-04-28,0.39
"35","05/04/2022",458831,2022-05-04,0.48
"36","05/05/2021",334866,2021-05-05,0.35
"37","05/11/2022",593805,2022-05-11,0.63
"38","05/12/2021",261590,2021-05-12,0.28
"39","05/18/2022",714136,2022-05-18,0.75
"40","05/19/2021",212024,2021-05-19,0.22
"41","05/25/2022",766917,2022-05-25,0.81
"42","05/26/2021",164435,2021-05-26,0.17
"43","06/01/2022",715379,2022-06-01,0.76
"44","06/02/2021",120378,2021-06-02,0.13
"45","06/08/2022",763696,2022-06-08,0.81
"46","06/09/2021",101526,2021-06-09,0.11
"47","06/15/2022",724427,2022-06-15,0.76
"48","06/16/2021",89034,2021-06-16,0.09
"49","06/22/2022",685911,2022-06-22,0.72
"50","06/23/2021",84583,2021-06-23,0.09
"51","06/29/2022",772824,2022-06-29,0.82
"52","06/30/2021",98114,2021-06-30,0.1
"53","07/06/2022",772477,2022-07-06,0.82
"54","07/07/2021",133430,2021-07-07,0.14
"55","07/13/2022",869246,2022-07-13,0.92
"56","07/14/2021",251109,2021-07-14,0.27
"57","07/20/2022",897458,2022-07-20,0.95
"58","07/21/2021",288157,2021-07-21,0.3
"59","07/27/2022",923937,2022-07-27,0.98
"60","07/28/2021",464744,2021-07-28,0.49
"61","08/03/2022",833267,2022-08-03,0.88
"62","08/04/2021",678272,2021-08-04,0.72
"63","08/10/2022",759711,2022-08-10,0.8
"64","08/11/2021",850255,2021-08-11,0.9
"65","08/17/2022",701839,2022-08-17,0.74
"66","08/18/2021",991598,2021-08-18,1.05
"67","08/24/2022",653037,2022-08-24,0.69
"68","08/25/2021",1052437,2021-08-25,1.11
"69","08/31/2022",613210,2022-08-31,0.65
"70","09/01/2021",1180574,2021-09-01,1.25
"71","09/02/2020",285968,2020-09-02,0.3
"72","09/07/2022",521070,2022-09-07,0.55
"73","09/08/2021",1083184,2021-09-08,1.14
"74","09/09/2020",258226,2020-09-09,0.27
"75","09/14/2022",468102,2022-09-14,0.49
"76","09/15/2021",1058596,2021-09-15,1.12
"77","09/16/2020",277253,2020-09-16,0.29
"78","09/21/2022",394367,2022-09-21,0.42
"79","09/22/2021",904791,2021-09-22,0.95
"80","09/23/2020",293309,2020-09-23,0.31
"81","09/28/2022",339444,2022-09-28,0.36
"82","09/29/2021",800392,2021-09-29,0.84
"83","09/30/2020",300682,2020-09-30,0.32
"84","10/05/2022",314913,2022-10-05,0.33
"85","10/06/2021",700690,2021-10-06,0.74
"86","10/07/2020",310424,2020-10-07,0.33
"87","10/12/2022",265484,2022-10-12,0.28
"88","10/13/2021",617612,2021-10-13,0.65
"89","10/14/2020",363384,2020-10-14,0.38
"90","10/19/2022",262195,2022-10-19,0.28
"91","10/20/2021",531867,2021-10-20,0.56
"92","10/21/2020",429807,2020-10-21,0.45
"93","10/26/2022",262597,2022-10-26,0.28
"94","10/27/2021",506133,2021-10-27,0.53
"95","10/28/2020",524983,2020-10-28,0.55
"96","11/02/2022",274343,2022-11-02,0.29
"97","11/03/2021",501888,2021-11-03,0.53
"98","11/04/2020",661396,2020-11-04,0.7
"99","11/09/2022",291489,2022-11-09,0.31
"100","11/10/2021",541252,2021-11-10,0.57
"101","11/11/2020",900961,2020-11-11,0.95
