"","week","total_booster_doses","perc_doses"
"1",2022-03-06,112451,0.017
"2",2022-03-13,107308,0.016
"3",2022-03-20,99524,0.015
"4",2022-03-27,264188,0.039
"5",2022-04-03,418591,0.062
"6",2022-04-10,405536,0.06
"7",2022-04-17,344022,0.051
"8",2022-04-24,328771,0.049
"9",2022-05-01,293952,0.044
"10",2022-05-08,290808,0.043
"11",2022-05-15,295369,0.044
"12",2022-05-22,282129,0.042
"13",2022-05-29,217210,0.032
"14",2022-06-05,208278,0.031
"15",2022-06-12,176981,0.026
"16",2022-06-19,154403,0.023
"17",2022-06-26,140277,0.021
"18",2022-07-03,129215,0.019
"19",2022-07-10,189367,0.028
"20",2022-07-17,186764,0.028
"21",2022-07-24,143852,0.021
"22",2022-07-31,108898,0.016
"23",2022-08-07,83880,0.012
"24",2022-08-14,79607,0.012
"25",2022-08-21,67496,0.01
"26",2022-08-28,42494,0.006
"27",2022-09-04,195172,0.029
"28",2022-09-11,409166,0.061
"29",2022-09-18,471002,0.07
"30",2022-09-25,487654,0.072
