"","week","weeks_since","age_group","inc"
"1",2022-12-03,-4,"All",9.3
"2",2022-12-03,-4,"0-17 years",1.7
"3",2022-12-03,-4,"75+ years",59.7
"4",2022-12-03,-4,"65-74 years",20.5
"5",2022-12-03,-4,"50-64 years",8.5
"6",2022-12-03,-4,"18-49 years",3.7
"7",2022-12-10,-3,"All",9.4
"8",2022-12-10,-3,"0-17 years",1.9
"9",2022-12-10,-3,"75+ years",60.1
"10",2022-12-10,-3,"65-74 years",19.7
"11",2022-12-10,-3,"50-64 years",9.1
"12",2022-12-10,-3,"18-49 years",3.5
"13",2022-12-17,-2,"All",9.5
"14",2022-12-17,-2,"0-17 years",1.6
"15",2022-12-17,-2,"75+ years",59.5
"16",2022-12-17,-2,"65-74 years",21.7
"17",2022-12-17,-2,"50-64 years",8.7
"18",2022-12-17,-2,"18-49 years",3.9
"19",2022-12-24,-1,"All",9.7
"20",2022-12-24,-1,"0-17 years",1.7
"21",2022-12-24,-1,"75+ years",64.2
"22",2022-12-24,-1,"65-74 years",20.8
"23",2022-12-24,-1,"50-64 years",9.2
"24",2022-12-24,-1,"18-49 years",3.5
"25",2022-12-31,0,"All",10.9
"26",2022-12-31,0,"0-17 years",1.7
"27",2022-12-31,0,"75+ years",73.8
"28",2022-12-31,0,"65-74 years",22.7
"29",2022-12-31,0,"50-64 years",9.4
"30",2022-12-31,0,"18-49 years",4.3
"31",2023-01-07,1,"All",10.3
"32",2023-01-07,1,"0-17 years",1.6
"33",2023-01-07,1,"75+ years",66.2
"34",2023-01-07,1,"65-74 years",23.2
"35",2023-01-07,1,"50-64 years",9.5
"36",2023-01-07,1,"18-49 years",3.9
"37",2023-01-14,2,"All",8.1
"38",2023-01-14,2,"0-17 years",1.4
"39",2023-01-14,2,"75+ years",52.2
"40",2023-01-14,2,"65-74 years",16.4
"41",2023-01-14,2,"50-64 years",7.6
"42",2023-01-14,2,"18-49 years",3.3
"43",2023-01-21,3,"All",6.9
"44",2023-01-21,3,"0-17 years",1.3
"45",2023-01-21,3,"75+ years",43.7
"46",2023-01-21,3,"65-74 years",14
"47",2023-01-21,3,"50-64 years",6.6
"48",2023-01-21,3,"18-49 years",2.9
"49",2023-01-28,4,"All",6.6
"50",2023-01-28,4,"0-17 years",1.4
"51",2023-01-28,4,"75+ years",41.7
"52",2023-01-28,4,"65-74 years",14.3
"53",2023-01-28,4,"50-64 years",5.7
"54",2023-01-28,4,"18-49 years",2.7
"55",2023-02-04,5,"All",6.2
"56",2023-02-04,5,"0-17 years",1.4
"57",2023-02-04,5,"75+ years",37.7
"58",2023-02-04,5,"65-74 years",12.7
"59",2023-02-04,5,"50-64 years",6.3
"60",2023-02-04,5,"18-49 years",2.4
"61",2023-02-11,6,"All",6.4
"62",2023-02-11,6,"0-17 years",1.4
"63",2023-02-11,6,"75+ years",41.4
"64",2023-02-11,6,"65-74 years",13.6
"65",2023-02-11,6,"50-64 years",5.8
"66",2023-02-11,6,"18-49 years",2.5
"67",2023-02-18,7,"All",6.3
"68",2023-02-18,7,"0-17 years",1.2
"69",2023-02-18,7,"75+ years",40.3
"70",2023-02-18,7,"65-74 years",13.6
"71",2023-02-18,7,"50-64 years",5.6
"72",2023-02-18,7,"18-49 years",2.5
"73",2023-02-25,8,"All",5.8
"74",2023-02-25,8,"0-17 years",1.1
"75",2023-02-25,8,"75+ years",38.5
"76",2023-02-25,8,"65-74 years",12.5
"77",2023-02-25,8,"50-64 years",5.3
"78",2023-02-25,8,"18-49 years",2
"79",2023-03-04,9,"All",5.4
"80",2023-03-04,9,"0-17 years",1
"81",2023-03-04,9,"75+ years",36.2
"82",2023-03-04,9,"65-74 years",11.1
"83",2023-03-04,9,"50-64 years",5
"84",2023-03-04,9,"18-49 years",2.1
"85",2023-03-11,10,"All",4.8
"86",2023-03-11,10,"0-17 years",0.8
"87",2023-03-11,10,"75+ years",31.9
"88",2023-03-11,10,"65-74 years",10.8
"89",2023-03-11,10,"50-64 years",4.8
"90",2023-03-11,10,"18-49 years",1.6
"91",2023-03-18,11,"All",4.4
"92",2023-03-18,11,"0-17 years",0.8
"93",2023-03-18,11,"75+ years",28.3
"94",2023-03-18,11,"65-74 years",9.7
"95",2023-03-18,11,"50-64 years",4.1
"96",2023-03-18,11,"18-49 years",1.6
"97",2023-03-25,12,"All",4.3
"98",2023-03-25,12,"0-17 years",0.8
"99",2023-03-25,12,"75+ years",29.6
"100",2023-03-25,12,"65-74 years",8.8
"101",2023-03-25,12,"50-64 years",3.9
"102",2023-03-25,12,"18-49 years",1.4
"103",2023-04-01,13,"All",3.7
"104",2023-04-01,13,"0-17 years",0.6
"105",2023-04-01,13,"75+ years",26.2
"106",2023-04-01,13,"65-74 years",7.3
"107",2023-04-01,13,"50-64 years",3.3
"108",2023-04-01,13,"18-49 years",1.2
"109",2023-04-08,14,"All",3.3
"110",2023-04-08,14,"0-17 years",0.5
"111",2023-04-08,14,"75+ years",22.5
"112",2023-04-08,14,"65-74 years",7
"113",2023-04-08,14,"50-64 years",2.9
"114",2023-04-08,14,"18-49 years",1.2
"115",2023-04-15,15,"All",3.2
"116",2023-04-15,15,"0-17 years",0.6
"117",2023-04-15,15,"75+ years",22.2
"118",2023-04-15,15,"65-74 years",6.9
"119",2023-04-15,15,"50-64 years",3
"120",2023-04-15,15,"18-49 years",1
"121",2023-04-22,16,"All",2.9
"122",2023-04-22,16,"0-17 years",0.5
"123",2023-04-22,16,"75+ years",20.9
"124",2023-04-22,16,"65-74 years",6.5
"125",2023-04-22,16,"50-64 years",2.4
"126",2023-04-22,16,"18-49 years",0.9
"127",2023-04-29,17,"All",2.5
"128",2023-04-29,17,"0-17 years",0.4
"129",2023-04-29,17,"75+ years",18.3
"130",2023-04-29,17,"65-74 years",5.3
"131",2023-04-29,17,"50-64 years",2.1
"132",2023-04-29,17,"18-49 years",0.8
"133",2023-05-06,18,"All",2.3
"134",2023-05-06,18,"0-17 years",0.4
"135",2023-05-06,18,"75+ years",16
"136",2023-05-06,18,"65-74 years",5.2
"137",2023-05-06,18,"50-64 years",1.9
"138",2023-05-06,18,"18-49 years",0.8
"139",2023-05-13,19,"All",2.2
"140",2023-05-13,19,"0-17 years",0.4
"141",2023-05-13,19,"75+ years",15.3
"142",2023-05-13,19,"65-74 years",5.1
"143",2023-05-13,19,"50-64 years",1.7
"144",2023-05-13,19,"18-49 years",0.8
"145",2023-05-20,20,"All",2
"146",2023-05-20,20,"0-17 years",0.5
"147",2023-05-20,20,"75+ years",14.7
"148",2023-05-20,20,"65-74 years",4.7
"149",2023-05-20,20,"50-64 years",1.4
"150",2023-05-20,20,"18-49 years",0.6
"151",2023-05-27,21,"All",1.9
"152",2023-05-27,21,"0-17 years",0.3
"153",2023-05-27,21,"75+ years",13.9
"154",2023-05-27,21,"65-74 years",4.1
"155",2023-05-27,21,"50-64 years",1.6
"156",2023-05-27,21,"18-49 years",0.6
"157",2023-06-03,22,"All",1.5
"158",2023-06-03,22,"0-17 years",0.2
"159",2023-06-03,22,"75+ years",11.2
"160",2023-06-03,22,"65-74 years",2.9
"161",2023-06-03,22,"50-64 years",1.6
"162",2023-06-03,22,"18-49 years",0.5
"163",2023-06-10,23,"All",1.4
"164",2023-06-10,23,"0-17 years",0.2
"165",2023-06-10,23,"75+ years",9.8
"166",2023-06-10,23,"65-74 years",3.1
"167",2023-06-10,23,"50-64 years",1
"168",2023-06-10,23,"18-49 years",0.5
"169",2023-06-17,24,"All",1.4
"170",2023-06-17,24,"0-17 years",0.1
"171",2023-06-17,24,"75+ years",9.6
"172",2023-06-17,24,"65-74 years",3.8
