"","age_categories","administered_date","perc_up_to_date"
"1","0-17",2022-12-31,11.5363215477217
"2","0-17",2023-01-01,11.5375192724802
"3","0-17",2023-02-19,13.6514762502069
"4","0-17",2023-05-30,15.5497066663182
"5","0-17",2023-01-30,13.0628217524238
"6","0-17",2023-01-02,11.5759009067865
"7","0-17",2023-02-21,13.7047477809427
"8","0-17",2023-02-18,13.6461953728626
"9","0-17",2023-02-02,13.1755712058257
"10","0-17",2023-01-04,11.79233521485
"11","0-17",2023-02-22,13.737195233491
"12","0-17",2023-06-03,15.6159354012596
"13","0-17",2023-02-03,13.2291966097856
"14","0-17",2023-01-31,13.099025705351
"15","0-17",2023-01-05,11.8943868084773
"16","0-17",2023-02-20,13.6737702633252
"17","0-17",2023-06-01,15.5882244057108
"18","0-17",2023-02-01,13.1385506223813
"19","0-17",2023-01-03,11.6927335127743
"20","0-17",2023-01-06,12.036099424221
"21","0-17",2023-06-02,15.6092118100017
"22","0-17",2023-03-07,14.0451193804932
"23","0-17",2023-02-25,13.8254185503611
"24","0-17",2023-01-07,12.0982994486111
"25","0-17",2023-02-06,13.292349369779
"26","0-17",2023-03-08,14.0727759340075
"27","0-17",2023-02-26,13.8300461232916
"28","0-17",2023-01-08,12.1199129362985
"29","0-17",2023-06-04,15.6191474812937
"30","0-17",2023-02-04,13.2508645395075
"31","0-17",2023-03-06,14.018959982927
"32","0-17",2023-01-09,12.1773220616545
"33","0-17",2023-05-09,15.2545219553837
"34","0-17",2023-02-08,13.3574076009791
"35","0-17",2023-02-28,13.8831815489412
"36","0-17",2023-01-10,12.2273815123562
"37","0-17",2023-05-10,15.2734133413472
"38","0-17",2023-02-09,13.3913522094755
"39","0-17",2023-03-01,13.9096675987143
"40","0-17",2023-05-31,15.5709935017988
"41","0-17",2023-01-11,12.2851445109363
"42","0-17",2023-02-10,13.4391795367636
"43","0-17",2023-03-02,13.935309796953
"44","0-17",2023-02-17,13.6309788242263
"45","0-17",2023-01-12,12.3394232193099
"46","0-17",2023-02-11,13.4616368759854
"47","0-17",2023-03-03,13.9729836848111
"48","0-17",2023-06-12,15.7480662189354
"49","0-17",2023-01-13,12.4349145477827
"50","0-17",2023-02-12,13.4679249309675
"51","0-17",2023-03-04,13.9883907805681
"52","0-17",2023-06-13,15.7677742354161
"53","0-17",2023-01-14,12.4803464255538
"54","0-17",2023-02-13,13.4995829740159
"55","0-17",2023-02-23,13.7700237802807
"56","0-17",2023-06-14,15.7902315746379
"57","0-17",2023-06-11,15.7277865610927
"58","0-17",2023-02-14,13.5243813207202
"59","0-17",2023-02-24,13.8092492661214
"60","0-17",2023-06-15,15.8108378846874
"61","0-17",2023-02-05,13.2582958772136
"62","0-17",2023-01-16,12.5301608871003
"63","0-17",2023-04-06,14.7408885811099
"64","0-17",2023-06-16,15.8322608252541
"65","0-17",2023-05-17,15.3739677790263
"66","0-17",2023-01-17,12.5710196339753
"67","0-17",2023-04-07,14.7697156383655
"68","0-17",2023-06-17,15.8372422714088
"69","0-17",2023-05-18,15.3916614402314
"70","0-17",2023-01-15,12.4998638949138
"71","0-17",2023-02-27,13.8554161113579
"72","0-17",2023-06-18,15.838984416512
"73","0-17",2023-05-19,15.4140098953842
"74","0-17",2023-01-19,12.6658304370171
"75","0-17",2023-03-10,14.1400935096384
"76","0-17",2023-06-19,15.8560792153378
"77","0-17",2023-05-20,15.4213051280041
"78","0-17",2023-01-20,12.7335835489238
"79","0-17",2023-03-11,14.1546295328438
"80","0-17",2023-06-20,15.8726840358533
"81","0-17",2023-05-21,15.4243266609176
"82","0-17",2023-01-21,12.7617845227829
"83","0-17",2023-03-12,14.1602370623949
"84","0-17",2023-06-21,15.8922287262306
"85","0-17",2023-05-22,15.4416392278813
"86","0-17",2023-01-22,12.7702230381268
"87","0-17",2023-03-13,14.1870497643749
"88","0-17",2023-06-22,15.9102490396425
"89","0-17",2023-05-23,15.4603128457069
"90","0-17",2023-01-23,12.8107006907605
"91","0-17",2023-03-14,14.2133724880445
"92","0-17",2023-06-23,15.9302837083301
"93","0-17",2023-05-24,15.4784964852223
"94","0-17",2023-01-24,12.8506611440667
"95","0-17",2023-03-05,13.9932361216366
"96","0-17",2023-06-24,15.9337135565021
"97","0-17",2023-05-25,15.4952101898067
"98","0-17",2023-01-25,12.8976990618549
"99","0-17",2023-04-05,14.7151374988023
"100","0-17",2023-06-25,15.9359729009329
"101","0-17",2023-05-26,15.518756369718
"102","0-17",2023-01-26,12.9378228412644
"103","0-17",2023-02-15,13.5548144179929
"104","0-17",2023-06-26,15.9507266922762
"105","0-17",2023-05-27,15.5263510335276
"106","0-17",2023-01-27,12.9950141984826
"107","0-17",2023-02-16,13.5854652834035
"108","0-17",2023-03-18,14.3230459664985
"109","0-17",2023-05-28,15.5307880593375
"110","0-17",2023-02-07,13.3236535396033
"111","0-17",2023-03-09,14.1015485492287
"112","0-17",2023-03-29,14.5695050565762
"113","0-17",2023-05-29,15.5316046898546
"114","0-17",2023-01-29,13.0263728103414
"115","0-17",2023-03-20,14.3577527634777
"116","0-17",2023-03-30,14.5959911063492
"117","0-17",2023-06-09,15.7184769731971
"118","0-17",2023-04-30,15.1202134563288
"119","0-17",2023-03-21,14.3845654654576
"120","0-17",2023-03-31,14.6266964137943
"121","0-17",2023-06-10,15.724057281731
"122","0-17",2023-05-01,15.1357294361547
"123","0-17",2023-03-22,14.4125758921961
"124","0-17",2023-04-01,14.6345632877762
"125","0-17",2023-05-05,15.2100700342331
"126","0-17",2023-05-02,15.1526609088771
"127","0-17",2023-03-23,14.4408857501241
"128","0-17",2023-04-02,14.6383742301896
"129","0-17",2023-05-06,15.2201690316286
"130","0-17",2023-05-03,15.1705451172028
"131","0-17",2023-03-24,14.4746125904827
"132","0-17",2023-04-03,14.6630909138422
"133","0-17",2023-05-07,15.2229727964042
"134","0-17",2023-05-04,15.186197202115
"135","0-17",2023-03-15,14.2424989764898
"136","0-17",2023-04-04,14.6872359561328
"137","0-17",2023-05-08,15.2385976602991
"138","0-17",2023-01-18,12.6184114249876
"139","0-17",2023-03-16,14.2717071279867
"140","0-17",2023-04-15,14.9084611632303
"141","0-17",2023-06-05,15.6380660882745
"142","0-17",2023-04-29,15.1188251844496
"143","0-17",2023-03-27,14.5148452539612
"144","0-17",2023-03-17,14.309517120931
"145","0-17",2023-06-06,15.6567124850829
"146","0-17",2023-04-13,14.873046619803
"147","0-17",2023-03-28,14.5401880210103
"148","0-17",2023-04-27,15.0919308194179
"149","0-17",2023-06-07,15.676692711736
